,titles,year,imdb_ratings,text_muted1,text_muted2,text_muted3,meta_scores,director,stars
5112,Cellular,(2004),6.5,"
PG-13
|
94 min
|

Action, Crime, Thriller            
","
A young man receives an emergency phone call on his cell phone from an older woman. The catch? The woman claims to have been kidnapped, and the kidnappers have targeted her husband and child next.","
Votes:
101,331
| Gross:
$32.00M
",60        ,['David R. Ellis'],"['Kim Basinger', 'Chris Evans', 'Jason Statham', 'William H. Macy']"
5113,Wonderland,(2003),6.5,"
R
|
104 min
|

Crime, Drama, Mystery            
","
In the police investigation of a brutal crime scene, one man was at the center of it all: legendary porn star John Holmes.","
Votes:
22,478
| Gross:
$1.06M
",43        ,['James Cox'],"['Val Kilmer', 'Lisa Kudrow', 'Kate Bosworth', 'Christina Applegate']"
5114,Thumbsucker,(2005),6.5,"
R
|
96 min
|

Comedy, Drama            
","
Justin throws himself and everyone around him into chaos when he attempts to break free from his addiction to his thumb.","
Votes:
21,392
| Gross:
$1.33M
",69        ,['Mike Mills'],"['Lou Taylor Pucci', 'Tilda Swinton', ""Vincent D'Onofrio"", 'Keanu Reeves']"
5115,Out of Time,(I) (2003),6.5,"
PG-13
|
105 min
|

Crime, Drama, Mystery            
","
A Florida police chief must solve a vicious double homicide before he himself falls under suspicion.","
Votes:
61,338
| Gross:
$40.91M
",63        ,['Carl Franklin'],"['Denzel Washington', 'Sanaa Lathan', 'Eva Mendes', 'Dean Cain']"
5116,Dead End,(I) (2003),6.5,"
R
|
85 min
|

Adventure, Horror, Mystery            
","
Christmas Eve. On his way to his in-laws with his family, Frank Harrington decides to try a shortcut, for the first time in 20 years. It turns out to be the biggest mistake of his life.","
Votes:
29,224
",,"['Jean-Baptiste Andrea', 'Fabrice Canepa']","['Ray Wise', 'Lin Shaye', 'Mick Cain', 'Alexandra Holden']"
5117,Mona Lisa Smile,(2003),6.5,"
PG-13
|
117 min
|

Drama            
","
A free-thinking art professor teaches conservative 1950s Wellesley girls to question their traditional social roles.","
Votes:
83,305
| Gross:
$63.86M
",45        ,['Mike Newell'],"['Julia Roberts', 'Kirsten Dunst', 'Julia Stiles', 'Maggie Gyllenhaal']"
5118,The Powerpuff Girls Movie,(2002),6.5,"
PG
|
73 min
|

Animation, Action, Adventure            
","
The movie shows the origin of the Powerpuff Girls before the cartoon series. It explains why they were born and why they dedicated their lives to fighting crime and the forces of evil.","
Votes:
10,206
| Gross:
$11.41M
",65        ,"['Craig McCracken', 'Genndy Tartakovsky']","['Cathy Cavadini', 'Tara Strong', 'Elizabeth Daily', 'Roger Jackson']"
5119,The Good Thief,(2002),6.5,"
R
|
109 min
|

Action, Crime, Drama            
","
An aging gambler on a losing streak attempts to rob a casino in Monte Carlo. But someone's already tipped off the cops before he even makes a move.","
Votes:
10,562
| Gross:
$3.52M
",68        ,['Neil Jordan'],"['Nick Nolte', 'Ralph Fiennes', 'Nutsa Kukhianidze', 'Ouassini Embarek']"
5120,Hollywood Ending,(2002),6.5,"
PG-13
|
112 min
|

Comedy, Romance            
","
A director is forced to work with his ex-wife, who left him for the boss of the studio bankrolling his new film. But the night before the first day of shooting, he develops a case of psychosomatic blindness.","
Votes:
27,137
| Gross:
$4.84M
",46        ,['Woody Allen'],"['Woody Allen', 'Téa Leoni', 'Bob Dorian', 'Ivan Martin']"
5121,Recess: School's Out,(2001),6.5,"
G
|
82 min
|

Animation, Adventure, Comedy            
","
T.J. and the gang must save summer vacation from disappearing forever.","
Votes:
10,790
| Gross:
$36.70M
",43        ,['Chuck Sheetz'],"['Andrew Lawrence', ""Rickey D'Shon Collins"", 'Jason Davis', 'Ashley Johnson']"
5122,Changing Lanes,(2002),6.5,"
R
|
98 min
|

Drama, Thriller            
","
A young lawyer and a businessman share a small automobile accident, and their mutual road rage escalates into a feud.","
Votes:
72,104
| Gross:
$66.82M
",69        ,['Roger Michell'],"['Ben Affleck', 'Samuel L. Jackson', 'Kim Staunton', 'Toni Collette']"
5123,Heist,(2001),6.5,"
R
|
109 min
|

Action, Crime, Drama            
","
A career jewel thief finds himself at tense odds with his longtime partner, a crime boss who sends his nephew to keep watch.","
Votes:
37,308
| Gross:
$0.05M
",66        ,['David Mamet'],"['Gene Hackman', 'Rebecca Pidgeon', 'Danny DeVito', 'Delroy Lindo']"
5124,The Deep End,(2001),6.5,"
R
|
101 min
|

Crime, Drama, Mystery            
","
A woman spirals out of control while trying to keep her son from being found culpable in a murder investigation.","
Votes:
11,685
| Gross:
$8.82M
",78        ,"['Scott McGehee', 'David Siegel']","['Tilda Swinton', 'Goran Visnjic', 'Jonathan Tucker', 'Peter Donat']"
5125,Swordfish,(2001),6.5,"
R
|
99 min
|

Action, Crime, Thriller            
","
A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him.","
Votes:
187,931
| Gross:
$69.77M
",32        ,['Dominic Sena'],"['John Travolta', 'Hugh Jackman', 'Halle Berry', 'Don Cheadle']"
5126,Wet Hot American Summer,(2001),6.5,"
R
|
97 min
|

Comedy, Romance            
","
Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends.","
Votes:
58,140
| Gross:
$0.29M
",42        ,['David Wain'],"['Janeane Garofalo', 'David Hyde Pierce', 'Michael Showalter', 'Marguerite Moreau']"
5127,The Sleeping Dictionary,(2003),6.5,"
R
|
109 min
|

Drama, Romance            
","
A young Englishman is sent to Malaysian Borneo in the 1930s to stay with a tribe as UK's colonial representative. A local woman (J.Alba) helps him understand local tradition and language. He falls in love with her etc. despite the taboo.","
Votes:
8,732
",,['Guy Jenkin'],"['Jessica Alba', 'Brenda Blethyn', 'Hugh Dancy', 'Bob Hoskins']"
5128,The Four Feathers,(2002),6.5,"
PG-13
|
132 min
|

Action, Adventure, Drama            
","
A young British officer resigns his commission just before his regiment is sent to battle and soon receives four white feathers from his friends and fiancee as symbols of what they view as his cowardice.","
Votes:
34,402
| Gross:
$18.31M
",49        ,['Shekhar Kapur'],"['Heath Ledger', 'Wes Bentley', 'Kate Hudson', 'Mohamed Bouich']"
5129,Bandits,(2001),6.5,"
PG-13
|
123 min
|

Comedy, Crime, Drama            
","
Two bank robbers fall in love with the girl they've kidnapped.","
Votes:
68,491
| Gross:
$41.58M
",60        ,['Barry Levinson'],"['Bruce Willis', 'Billy Bob Thornton', 'Cate Blanchett', 'Troy Garity']"
5130,Road Trip,(2000),6.5,"
R
|
93 min
|

Comedy            
","
Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.","
Votes:
169,814
| Gross:
$68.54M
",55        ,['Todd Phillips'],"['Breckin Meyer', 'Seann William Scott', 'Amy Smart', 'Paulo Costanzo']"
5131,Awake,(2007),6.5,"
R
|
84 min
|

Crime, Drama, Mystery            
","
A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.","
Votes:
76,144
| Gross:
$14.38M
",33        ,['Joby Harold'],"['Hayden Christensen', 'Jessica Alba', 'Terrence Howard', 'Lena Olin']"
5132,Riding in Cars with Boys,(2001),6.5,"
PG-13
|
132 min
|

Biography, Comedy, Drama            
","
A single mother, with dreams of becoming a writer, has a son at the age of 15 in 1965, and goes through a failed marriage with the drug-addicted father.","
Votes:
29,230
| Gross:
$30.17M
",43        ,['Penny Marshall'],"['Drew Barrymore', 'Steve Zahn', 'Adam Garcia', 'Brittany Murphy']"
5133,Zoolander,(2001),6.5,"
PG-13
|
90 min
|

Comedy            
","
At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.","
Votes:
265,085
| Gross:
$45.17M
",61        ,['Ben Stiller'],"['Ben Stiller', 'Owen Wilson', 'Christine Taylor', 'Will Ferrell']"
5134,Vatel,(2000),6.5,"
PG-13
|
103 min
|

Biography, Drama, History            
","
Vatel is the cook of Prince Condé. When the prince invites Louis XIV to hunt, he has to give lavish banquets in order to fall in his favor. But when Vatel falls in love with the king's mistress, love and duty come into conflict.","
Votes:
7,903
| Gross:
$0.05M
",44        ,['Roland Joffé'],"['Gérard Depardieu', 'Uma Thurman', 'Tim Roth', 'Julian Glover']"
5135,Gone in Sixty Seconds,(2000),6.5,"
PG-13
|
118 min
|

Action, Crime, Thriller            
","
A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.","
Votes:
278,785
| Gross:
$101.65M
",35        ,['Dominic Sena'],"['Nicolas Cage', 'Angelina Jolie', 'Giovanni Ribisi', 'T.J. Cross']"
5136,Space Cowboys,(2000),6.5,"
PG-13
|
130 min
|

Action, Adventure, Thriller            
","
When retired engineer Frank Corvin (Clint Eastwood) is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.","
Votes:
81,816
| Gross:
$90.46M
",73        ,['Clint Eastwood'],"['Clint Eastwood', 'Tommy Lee Jones', 'Donald Sutherland', 'James Garner']"
5137,The Blair Witch Project,(1999),6.5,"
R
|
81 min
|

Horror, Mystery            
","
Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.","
Votes:
259,637
| Gross:
$140.54M
",81        ,"['Daniel Myrick', 'Eduardo Sánchez']","['Heather Donahue', 'Michael C. Williams', 'Joshua Leonard', 'Bob Griffin']"
5138,Double Jeopardy,(1999),6.5,"
R
|
105 min
|

Crime, Drama, Mystery            
","
A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.","
Votes:
87,346
| Gross:
$116.74M
",40        ,['Bruce Beresford'],"['Ashley Judd', 'Tommy Lee Jones', 'Bruce Greenwood', 'Benjamin Weir']"
5139,Varsity Blues,(1999),6.5,"
R
|
106 min
|

Comedy, Drama, Romance            
","
A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.","
Votes:
46,388
| Gross:
$52.89M
",50        ,['Brian Robbins'],"['James Van Der Beek', 'Jon Voight', 'Paul Walker', 'Ron Lester']"
5140,8MM,(1999),6.5,"
R
|
123 min
|

Crime, Drama, Mystery            
","
A private investigator is hired to discover if a ""snuff film"" is authentic or not.","
Votes:
133,789
| Gross:
$36.66M
",19        ,['Joel Schumacher'],"['Nicolas Cage', 'Joaquin Phoenix', 'James Gandolfini', 'Peter Stormare']"
5141,The Faculty,(1998),6.5,"
R
|
104 min
|

Horror, Mystery, Sci-Fi            
","
When Casey Connor, Herrington High School's newspaper photographer, witnesses the murder of a nurse and sees her alive again, he decides to investigate the bizarre happenings.","
Votes:
123,727
| Gross:
$40.06M
",61        ,['Robert Rodriguez'],"['Jordana Brewster', 'Clea DuVall', 'Laura Harris', 'Josh Hartnett']"
5142,BASEketball,(1998),6.5,"
R
|
103 min
|

Comedy, Sport            
","
Two childhood friends are pro athletes of a national sport called BASEketball, a hybrid of baseball and basketball, and must deal with a greedy businessman scheming against their team.","
Votes:
62,486
| Gross:
$6.94M
",38        ,['David Zucker'],"['Trey Parker', 'Matt Stone', 'Dian Bachar', 'Yasmine Bleeth']"
5143,Bowfinger,(1999),6.5,"
PG-13
|
97 min
|

Comedy            
","
When a desperate movie producer fails to get a major star for his bargain basement film, he decides to shoot the film secretly around him.","
Votes:
70,967
| Gross:
$66.38M
",71        ,['Frank Oz'],"['Steve Martin', 'Eddie Murphy', 'Heather Graham', 'Christine Baranski']"
5144,Instinct,(1999),6.5,"
R
|
126 min
|

Drama, Thriller            
","
When noted anthropologist Dr. Ethan Powell, who left society to live in the jungle is imprisoned for murder, it's up to young psychiatrist Theo Caulder to get through to him.","
Votes:
33,346
| Gross:
$34.10M
",43        ,['Jon Turteltaub'],"['Anthony Hopkins', 'Cuba Gooding Jr.', 'Donald Sutherland', 'Maura Tierney']"
5145,Can't Hardly Wait,(1998),6.5,"
PG-13
|
100 min
|

Comedy, Romance            
","
A complete graduating class, consisting of beautiful girls, geeks and promising footballers, assemble at a rich classmate's residence for a party. Interesting developments follow at the get-together.","
Votes:
50,580
| Gross:
$25.34M
",52        ,"['Harry Elfont', 'Deborah Kaplan']","['Jennifer Love Hewitt', 'Ethan Embry', 'Charlie Korsmo', 'Lauren Ambrose']"
5146,Another Day in Paradise,(1998),6.5,"
R
|
101 min
|

Crime, Drama, Thriller            
","
In the hope of a big score, two junkie couples team up to commit various drug robberies which go disastrously wrong, leading to dissent, violence, and murder.","
Votes:
8,806
| Gross:
$1.03M
",,['Larry Clark'],"['James Woods', 'Melanie Griffith', 'Vincent Kartheiser', 'Natasha Gregson Wagner']"
5147,Paulie,(1998),6.5,"
PG
|
91 min
|

Adventure, Comedy, Drama            
","
Paulie, a talking parrot, recounts his travels looking for his original owner to a Russian janitor who helps him to the end of his journey.","
Votes:
15,441
| Gross:
$27.01M
",,['John Roberts'],"['Gena Rowlands', 'Tony Shalhoub', 'Cheech Marin', 'Bruce Davison']"
5148,Star Wars: Episode I - The Phantom Menace,(1999),6.5,"
PG
|
136 min
|

Action, Adventure, Fantasy            
","
Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.","
Votes:
800,196
| Gross:
$474.54M
",51        ,['George Lucas'],"['Ewan McGregor', 'Liam Neeson', 'Natalie Portman', 'Jake Lloyd']"
5149,Titan A.E.,(2000),6.5,"
PG
|
94 min
|

Animation, Action, Adventure            
","
A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.","
Votes:
61,516
| Gross:
$22.75M
",48        ,"['Don Bluth', 'Gary Goldman']","['Matt Damon', 'Drew Barrymore', 'Bill Pullman', 'Jim Breuer']"
5150,U.S. Marshals,(1998),6.5,"
PG-13
|
131 min
|

Action, Crime, Thriller            
","
U.S. Marshal Samuel Gerard and his team of Marshals are assigned to track down Sheridan, who has been accused of a double-murder.","
Votes:
106,324
| Gross:
$57.17M
",47        ,['Stuart Baird'],"['Tommy Lee Jones', 'Wesley Snipes', 'Robert Downey Jr.', 'Joe Pantoliano']"
5151,The Man in the Iron Mask,(I) (1998),6.5,"
PG-13
|
132 min
|

Action, Adventure, Drama            
","
The cruel King Louis XIV of France has a secret twin brother whom he keeps imprisoned. Can the twin be substituted for the real king?","
Votes:
167,969
| Gross:
$56.97M
",48        ,['Randall Wallace'],"['Leonardo DiCaprio', 'Jeremy Irons', 'John Malkovich', 'Gérard Depardieu']"
5152,Jakob the Liar,(1999),6.5,"
PG-13
|
120 min
|

Drama, War            
","
During World War II, an ordinary inhabitant of a ghetto fakes news about Allied offensives to inspire hope for other victims of the Nazi regime.","
Votes:
17,369
| Gross:
$4.96M
",40        ,['Peter Kassovitz'],"['Robin Williams', 'Hannah Taylor Gordon', 'Éva Igó', 'István Bálint']"
5153,Tomorrow Never Dies,(1997),6.5,"
PG-13
|
119 min
|

Action, Adventure, Thriller            
","
James Bond sets out to stop a media mogul's plan to induce war between China and the UK in order to obtain exclusive global media coverage.","
Votes:
194,879
| Gross:
$125.33M
",52        ,['Roger Spottiswoode'],"['Pierce Brosnan', 'Jonathan Pryce', 'Michelle Yeoh', 'Teri Hatcher']"
5154,Mouse Hunt,(1997),6.5,"
PG
|
98 min
|

Comedy            
","
Two stumblebum inheritors are determined to rid their antique house of a mouse who is equally determined to stay where he is.","
Votes:
56,935
| Gross:
$61.92M
",54        ,['Gore Verbinski'],"['Nathan Lane', 'Lee Evans', 'Vicki Lewis', 'Maury Chaykin']"
5155,The Lost World: Jurassic Park,(1997),6.5,"
PG-13
|
129 min
|

Action, Adventure, Sci-Fi            
","
A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.","
Votes:
417,153
| Gross:
$229.09M
",59        ,['Steven Spielberg'],"['Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite', 'Vince Vaughn']"
5156,The House of Yes,(1997),6.5,"
R
|
85 min
|

Comedy, Drama            
","
A mentally unbalanced young woman - who is convinced she is Jackie Kennedy - flies into a murderous rage when her brother returns home to reveal he is engaged.","
Votes:
8,219
| Gross:
$0.62M
",54        ,['Mark Waters'],"['Parker Posey', 'Josh Hamilton', 'Tori Spelling', 'Freddie Prinze Jr.']"
5157,Dobermann,(1997),6.5,"
R
|
103 min
|

Action, Crime, Thriller            
","
Dobermann is the world's most ruthless bank robber and with his gang rob bank after bank, now in Paris. What can the police do but to let the mad, morally bankrupt police commissioner loose on him?","
Votes:
17,902
",,['Jan Kounen'],"['Vincent Cassel', 'Tchéky Karyo', 'Monica Bellucci', 'Antoine Basler']"
5158,Bean,(1997),6.5,"
PG-13
|
89 min
|

Adventure, Comedy, Family            
","
The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.","
Votes:
105,500
| Gross:
$45.32M
",52        ,['Mel Smith'],"['Rowan Atkinson', 'Peter MacNicol', 'John Mills', 'Pamela Reed']"
5159,Air Force One,(1997),6.5,"
15
|
124 min
|

Action, Drama, Thriller            
","
Communist radicals hijack Air Force One with the U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a veteran, fights to rescue the hostages on board.","
Votes:
196,450
| Gross:
$172.96M
",61        ,['Wolfgang Petersen'],"['Harrison Ford', 'Gary Oldman', 'Glenn Close', 'Wendy Crewson']"
5160,Stealing Beauty,(1996),6.5,"
R
|
118 min
|

Drama, Mystery, Romance            
","
After her mother commits suicide, a young woman travels to Italy in search of love, truth and a deeper connection with herself.","
Votes:
28,562
| Gross:
$4.57M
",60        ,['Bernardo Bertolucci'],"['Jeremy Irons', 'Liv Tyler', 'Carlo Cecchi', 'Sinéad Cusack']"
5161,Space Jam,(1996),6.5,"
PG
|
88 min
|

Animation, Adventure, Comedy            
","
In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.","
Votes:
197,785
| Gross:
$90.46M
",59        ,['Joe Pytka'],"['Michael Jordan', 'Wayne Knight', 'Theresa Randle', 'Manner Washington']"
5162,One Fine Day,(1996),6.5,"
PG
|
108 min
|

Comedy, Drama, Romance            
","
The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City.","
Votes:
46,524
| Gross:
$46.15M
",56        ,['Michael Hoffman'],"['Michelle Pfeiffer', 'George Clooney', 'Mae Whitman', 'Alex D. Linz']"
5163,My Fellow Americans,(1996),6.5,"
PG-13
|
101 min
|

Adventure, Comedy            
","
Two former U. S. Presidents, hated rivals, join forces to expose the current, corrupt President at the risk of their lives.","
Votes:
15,165
| Gross:
$22.29M
",49        ,['Peter Segal'],"['Jack Lemmon', 'James Garner', 'Dan Aykroyd', 'John Heard']"
5164,Executive Decision,(1996),6.5,"
13
|
133 min
|

Action, Adventure, Thriller            
","
When terrorists seize control of an airliner, an intelligence analyst accompanies a commando unit for a midair boarding operation.","
Votes:
57,812
| Gross:
$56.57M
",62        ,['Stuart Baird'],"['Kurt Russell', 'Halle Berry', 'John Leguizamo', 'Oliver Platt']"
5165,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,(1996),6.5,"
R
|
89 min
|

Comedy, Crime            
","
A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).","
Votes:
55,881
| Gross:
$20.11M
",53        ,['Paris Barclay'],"['Shawn Wayans', 'Marlon Wayans', 'Keenen Ivory Wayans', 'Tracey Cherelle Jones']"
5166,2 Days in the Valley,(1996),6.5,"
R
|
104 min
|

Comedy, Crime, Thriller            
","
48 hours of intersecting lives and crimes in Los Angeles.","
Votes:
20,483
| Gross:
$11.11M
",56        ,['John Herzfeld'],"['Teri Hatcher', 'Jeff Daniels', 'Danny Aiello', 'Charlize Theron']"
5167,Total Eclipse,(1995),6.5,"
R
|
111 min
|

Biography, Drama, Romance            
","
Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.","
Votes:
15,796
| Gross:
$0.34M
",42        ,['Agnieszka Holland'],"['Leonardo DiCaprio', 'David Thewlis', 'Romane Bohringer', 'Dominique Blanc']"
5168,Tales from the Hood,(1995),6.5,"
R
|
98 min
|

Crime, Drama, Horror            
","
A funeral director tells four strange tales of horror with an African American focus to three drug dealers he traps in his place of business.","
Votes:
8,527
| Gross:
$11.80M
",,['Rusty Cundieff'],"['Clarence Williams III', 'Corbin Bernsen', 'Joe Torry', ""De'aundre Bonds""]"
5169,The Quick and the Dead,(1995),6.5,"
R
|
108 min
|

Action, Romance, Thriller            
","
A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death.","
Votes:
94,776
| Gross:
$18.64M
",49        ,['Sam Raimi'],"['Sharon Stone', 'Gene Hackman', 'Russell Crowe', 'Leonardo DiCaprio']"
5170,The Pillow Book,(1996),6.5,"
126 min
|

Drama            
","
A woman with a body writing fetish seeks to find a combined lover and calligrapher.","
Votes:
13,118
| Gross:
$2.29M
",64        ,['Peter Greenaway'],"['Vivian Wu', 'Ewan McGregor', 'Yoshi Oida', 'Ken Ogata']"
5171,Home for the Holidays,(1995),6.5,"
PG-13
|
103 min
|

Comedy, Drama, Romance            
","
After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.","
Votes:
13,333
| Gross:
$17.52M
",56        ,['Jodie Foster'],"['Holly Hunter', 'Anne Bancroft', 'Robert Downey Jr.', 'Charles Durning']"
5172,Higher Learning,(1995),6.5,"
R
|
128 min
|

Crime, Drama, Thriller            
","
People from all different walks of life, encounter racial tension, rape, responsibility, and the meaning of an education on a university campus.","
Votes:
20,142
| Gross:
$38.29M
",54        ,['John Singleton'],"['Omar Epps', 'Kristy Swanson', 'Michael Rapaport', 'Jennifer Connelly']"
5173,Forget Paris,(1995),6.5,"
PG-13
|
101 min
|

Comedy, Romance            
","
Mickey, an NBA referee, meets Ellen, an American airline official, in Paris. It develops into a relationship of ups and downs.","
Votes:
12,513
| Gross:
$33.19M
",,['Billy Crystal'],"['Billy Crystal', 'Debra Winger', 'Joe Mantegna', 'Cynthia Stevenson']"
5174,Dangerous Minds,(1995),6.5,"
R
|
99 min
|

Biography, Drama            
","
An ex-Marine turned teacher struggles to connect with her students in an inner city school.","
Votes:
53,288
| Gross:
$84.92M
",47        ,['John N. Smith'],"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett']"
5175,When a Man Loves a Woman,(1994),6.5,"
R
|
126 min
|

Drama, Romance            
","
The seemingly perfect relationship between a man and his wife is tested as a result of her alcoholism.","
Votes:
22,391
| Gross:
$50.02M
",,['Luis Mandoki'],"['Meg Ryan', 'Andy Garcia', 'Ellen Burstyn', 'Tina Majorino']"
5176,The Santa Clause,(1994),6.5,"
PG
|
97 min
|

Comedy, Drama, Family            
","
When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.","
Votes:
115,756
| Gross:
$144.83M
",57        ,['John Pasquin'],"['Tim Allen', 'Judge Reinhold', 'Wendy Crewson', 'Eric Lloyd']"
5177,PCU,(1994),6.5,"
PG-13
|
79 min
|

Comedy            
","
A high school senior visits college for the weekend, and stays at the wildest house on campus.","
Votes:
13,722
| Gross:
$4.35M
",42        ,['Hart Bochner'],"['Jeremy Piven', 'Chris Young', 'Megan Ward', 'Jon Favreau']"
5178,Only You,(1994),6.5,"
PG
|
109 min
|

Comedy, Romance            
","
As a teen, Faith was told that her destiny is a man named Damon Bradley. Years later - Faith is about to marry another man - a Damon Bradley calls to wish them all the best. Faith blows off the wedding and follows Damon to Italy.","
Votes:
22,898
| Gross:
$20.04M
",,['Norman Jewison'],"['Marisa Tomei', 'Robert Downey Jr.', 'Bonnie Hunt', 'Joaquim de Almeida']"
5179,Nell,(1994),6.5,"
PG-13
|
112 min
|

Drama            
","
In a remote woodland cabin, a small-town doctor discovers Nell - a beautiful young hermit-woman with many secrets.","
Votes:
29,468
| Gross:
$33.68M
",60        ,['Michael Apted'],"['Jodie Foster', 'Liam Neeson', 'Natasha Richardson', 'Richard Libertini']"
5180,Naked Gun 33 1/3: The Final Insult,(1994),6.5,"
PG-13
|
83 min
|

Comedy, Crime            
","
Frank Drebin (Leslie Nielsen) comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.","
Votes:
104,730
| Gross:
$51.13M
",63        ,['Peter Segal'],"['Leslie Nielsen', 'Priscilla Presley', 'George Kennedy', 'O.J. Simpson']"
5181,Miracle on 34th Street,(1994),6.5,"
PG
|
114 min
|

Drama, Family, Fantasy            
","
A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.","
Votes:
36,948
| Gross:
$17.19M
",,['Les Mayfield'],"['Richard Attenborough', 'Elizabeth Perkins', 'Dylan McDermott', 'J.T. Walsh']"
5182,Geronimo: An American Legend,(1993),6.5,"
PG-13
|
115 min
|

Drama, History, Western            
","
The story of the Apache chief and his armed resistance to the U.S. Government's subjugation of his people.","
Votes:
11,937
| Gross:
$18.64M
",58        ,['Walter Hill'],"['Jason Patric', 'Gene Hackman', 'Robert Duvall', 'Wes Studi']"
5183,Fire in the Sky,(1993),6.5,"
PG-13
|
109 min
|

Biography, Drama, Fantasy            
","
An Arizona logger mysteriously disappears for five days in an alleged encounter with a flying saucer in 1975. His co-workers endure ridicule and contempt as they are wrongly accused of murder.","
Votes:
25,357
| Gross:
$20.10M
",42        ,['Robert Lieberman'],"['D.B. Sweeney', 'Robert Patrick', 'Craig Sheffer', 'Peter Berg']"
5184,Cliffhanger,(1993),6.5,"
R
|
113 min
|

Action, Adventure, Thriller            
","
A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.","
Votes:
130,406
| Gross:
$84.05M
",60        ,['Renny Harlin'],"['Sylvester Stallone', 'John Lithgow', 'Michael Rooker', 'Janine Turner']"
5185,Under Siege,(1992),6.5,"
R
|
103 min
|

Action, Thriller            
","
An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.","
Votes:
87,652
| Gross:
$83.36M
",58        ,['Andrew Davis'],"['Steven Seagal', 'Gary Busey', 'Tommy Lee Jones', 'Erika Eleniak']"
5186,Sister Act,(1992),6.5,"
G
|
100 min
|

Comedy, Family, Music            
","
When a nightclub singer is forced to take refuge from the mob in a convent, she ends up turning the convent choir into a soulful chorus complete with a Motown repertoire, until the sudden celebrity of the choir jeopardizes her identity.","
Votes:
99,193
| Gross:
$139.61M
",51        ,['Emile Ardolino'],"['Whoopi Goldberg', 'Maggie Smith', 'Kathy Najimy', 'Wendy Makkena']"
5187,The Mighty Ducks,(1992),6.5,"
PG
|
104 min
|

Comedy, Drama, Family            
","
A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.","
Votes:
66,695
| Gross:
$50.75M
",46        ,['Stephen Herek'],"['Emilio Estevez', 'Joss Ackland', 'Lane Smith', 'Heidi Kling']"
5188,Hero,(I) (1992),6.5,"
PG-13
|
119 min
|

Comedy, Drama, Romance            
","
A not-so-nice man rescues passengers from a crashed airliner, only to see someone else take credit.","
Votes:
22,671
| Gross:
$19.51M
",61        ,['Stephen Frears'],"['Dustin Hoffman', 'Geena Davis', 'Andy Garcia', 'Joan Cusack']"
5189,Gladiator,(1992),6.5,"
R
|
101 min
|

Action, Drama, Sport            
","
Tommy Riley has moved with his dad to Chicago from a 'nice place'. He keeps to himself, goes to school. However, after a street fight he is noticed and quickly falls into the world of illegal underground boxing - where punches can kill.","
Votes:
9,496
| Gross:
$9.22M
",49        ,['Rowdy Herrington'],"['James Marshall', 'Cuba Gooding Jr.', 'Brian Dennehy', 'Richard Lexsee']"
